"Table S1. Species tested for physiological test with abbreviation including climatic types, grass subfamily, photosynthetic type (C3/C4) and accession number",,,,,,,,
,,,,,,,,
Species,Abbreviation,Climatic types,Subfamily,C3/C4,Material,Plant source,Accession number,Species in Kew c-DNA database
Andropogon chinensis,Ach,tropical,Panicoideae,C4,seed,AusTRCF,309303,N
Andropogon gerardii,Age,cold,Panicoideae,C4,seed,Prairie Moon Nursery,-,N
Andropogon gayanus,Aga,tropical,Panicoideae,C4,seed,AusTRCF,24575,N
Acroceras zizanioides,Azi,tropical,Panicoideae,C3,seed,AWEC collection,567505,N
Cenchrus brownii,Cbr,tropical,Panicoideae,C4,seed,AusTRCF,37127,N
Cymbopogon citratus,Cci,tropical,Panicoideae,C4,mature plant,Victoriana Nursery Gardens,-,N
Calamovilfa longifolia,Clo,cold,Chloridoideae,C4,seed,ARS GRIN NPGS,PI477995,N
Eragrostis spectabilis,Esp,cold,Chloridoideae,C4,seed,B & T World Seeds,40177,N
Eragrostis unioloides,Eun,tropical,Chloridoideae,C4,seed,ARS GRIN NPGS,PI213254,N
Leersia hexandra,Lhe,tropical,Ehrhartoideae,C3,seed,Kew,81094,N
Miscanthus giganteus,Mgi,cold,Panicoideae,C4,mature plant,Knoll Gardens,-,N
Miscanthus oligostachyus,Mol,cold,Panicoideae,C4,seed,B & T World Seeds,530513,N
Muhlenbergia racemosa,Mra,cold,Chloridoideae,C4,seed,B & T World Seeds,438584,N
Miscanthus sacchariflorus,Msa,cold,Panicoideae,C4,mature plant,Knoll Gardens,-,N
Miscanthus sinensis,Msi,cold,Panicoideae,C4,mature plant,Knoll Gardens,-,N
Oxytenanthera abyssinica,Oab,tropical,Bamusoideae,C3,seed,Kew,322902,N
Pennisetum clandestinum,Pcl,cold,Panicoideae,C4,seed,Herbiseed,-,N
Pennisetum flaccidum,Pfl,cold,Panicoideae,C4,seed,ARS GRIN NPGS,PI434640,N
Pappophorum mucronulatum,Pmu,tropical,Chloridoideae,C4,seed,ARS GRIN NPGS,PI477097,N
Panicum phragmitoides,Pph,tropical,Panicoideae,C4,seed,Kew,493208,N
Panicum virgatum,Pvi,cold,Panicoideae,C4,seed,Prairie Moon Nursery,-,N
Sporobolus consimilis,Sco,tropical,Chloridoideae,C4,seed,Kew,109187,N
Sorghastrum nutans,Snu,cold,Panicoideae,C4,seed,B & T World Seeds,32879,N
Saccharum officinarum,Sof,tropical,Panicoideae,C4,stalk,ARS GRIN NPGS,PI67507,N
Spartina pectinata,Spe,cold,Chloridoideae,C4,seed,ARS GRIN NPGS,W6 30925,N
Sporobolus pyramidalis,Spy,tropical,Chloridoideae,C4,seed,Kew,90043,N
Schizachyrium scoparium,Ssc,cold,Panicoideae,C4,seed,B & T World Seeds,38434,N
Sorghum timorense,Sti,tropical,Panicoideae,C4,seed,AusTRCF,302529,N
Tridens flavus,Tfl,cold,Chloridoideae,C4,seed,ARS GRIN NPGS,PI648975,N
