Species,Abbreviation,Climatic type,Subfamily,C3/C4,decimalLatitude,decimalLongitude
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.889308,1.972118
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.302469,2.05051
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.3,0.5
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.3,0.5
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.9,1.1
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.9,0.2
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.9,0.2
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.9,1.1
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.375,-1.625
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.625,-0.125
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.766667,-0.05
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.933333,-0.483333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.083333,-1.816667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.633333,-0.183333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.633333,-0.183333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,6.675,-0.666667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.383333,-1.983333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.2,-2.216667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.666667,-0.1
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.333333,-0.3
Andropogon chinensis,Ach,tropical,Panicoideae,C4,7.766667,-0.05
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.783333,-1.466667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.633333,-0.183333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.866667,0.1
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.2,-2.216667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.866667,0.1
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.866667,-1.983333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.8,-1.483333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.083333,-0.316667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.183333,0.5
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.6,-0.516667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,11.083333,-0.316667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8,-0.166667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.333333,-0.3
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.55,-0.216667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.25,-2.066667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.2,-2.216667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.65,-0.2
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.166667,-0.083333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.4,-2.516667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.016667,-2.4
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.6,-0.516667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.416667,0.016667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.25,-2.283333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.133333,-1.533333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.866667,-0.616667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.633333,-0.183333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.8,-1.483333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,8.875,-1.375
Andropogon chinensis,Ach,tropical,Panicoideae,C4,10.866667,-0.616667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.416667,0.016667
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9,-0.533333
Andropogon chinensis,Ach,tropical,Panicoideae,C4,5.666667,-0.1
Andropogon chinensis,Ach,tropical,Panicoideae,C4,9.2,-2.216667
